strategy,beta,method,sample_size,n_selected,success
linear,0.1,cluster_based,100,100,True
linear,0.1,cluster_based,400,400,True
linear,0.1,cluster_based,900,900,True
linear,0.1,equiprobable,100,99,True
linear,0.1,equiprobable,400,377,True
linear,0.1,equiprobable,900,823,True
linear,0.1,latin_hypercube,100,100,True
linear,0.1,latin_hypercube,400,400,True
linear,0.1,latin_hypercube,900,900,True
linear,0.5,cluster_based,100,100,True
linear,0.5,cluster_based,400,400,True
linear,0.5,cluster_based,900,900,True
linear,0.5,equiprobable,100,99,True
linear,0.5,equiprobable,400,377,True
linear,0.5,equiprobable,900,823,True
linear,0.5,latin_hypercube,100,100,True
linear,0.5,latin_hypercube,400,400,True
linear,0.5,latin_hypercube,900,900,True
linear,1.0,cluster_based,100,100,True
linear,1.0,cluster_based,400,400,True
linear,1.0,cluster_based,900,900,True
linear,1.0,equiprobable,100,99,True
linear,1.0,equiprobable,400,377,True
linear,1.0,equiprobable,900,823,True
linear,1.0,latin_hypercube,100,100,True
linear,1.0,latin_hypercube,400,400,True
linear,1.0,latin_hypercube,900,900,True
exponential,0.1,cluster_based,100,100,True
exponential,0.1,cluster_based,400,400,True
exponential,0.1,cluster_based,900,900,True
exponential,0.1,equiprobable,100,99,True
exponential,0.1,equiprobable,400,377,True
exponential,0.1,equiprobable,900,823,True
exponential,0.1,latin_hypercube,100,100,True
exponential,0.1,latin_hypercube,400,400,True
exponential,0.1,latin_hypercube,900,900,True
exponential,0.5,cluster_based,100,100,True
exponential,0.5,cluster_based,400,400,True
exponential,0.5,cluster_based,900,900,True
exponential,0.5,equiprobable,100,99,True
exponential,0.5,equiprobable,400,377,True
exponential,0.5,equiprobable,900,823,True
exponential,0.5,latin_hypercube,100,100,True
exponential,0.5,latin_hypercube,400,400,True
exponential,0.5,latin_hypercube,900,900,True
exponential,1.0,cluster_based,100,100,True
exponential,1.0,cluster_based,400,400,True
exponential,1.0,cluster_based,900,900,True
exponential,1.0,equiprobable,100,99,True
exponential,1.0,equiprobable,400,377,True
exponential,1.0,equiprobable,900,823,True
exponential,1.0,latin_hypercube,100,100,True
exponential,1.0,latin_hypercube,400,400,True
exponential,1.0,latin_hypercube,900,900,True
