latent_dim,method,sample_size,n_selected,strategy,beta,success
2,cluster_based,100,100,linear,10,True
2,cluster_based,400,400,linear,10,True
2,cluster_based,900,900,linear,10,True
2,cluster_based,1225,1225,linear,10,True
2,cluster_based,1600,1600,linear,10,True
2,equiprobable,100,100,linear,10,True
2,equiprobable,400,388,linear,10,True
2,equiprobable,900,843,linear,10,True
2,equiprobable,1225,1110,linear,10,True
2,equiprobable,1600,1413,linear,10,True
2,latin_hypercube,100,100,linear,10,True
2,latin_hypercube,400,400,linear,10,True
2,latin_hypercube,900,900,linear,10,True
2,latin_hypercube,1225,1225,linear,10,True
2,latin_hypercube,1600,1600,linear,10,True
2,adaptive_latin_hypercube,100,100,linear,10,True
2,adaptive_latin_hypercube,400,400,linear,10,True
2,adaptive_latin_hypercube,900,900,linear,10,True
2,adaptive_latin_hypercube,1225,1225,linear,10,True
2,adaptive_latin_hypercube,1600,1600,linear,10,True
